segment_id,language,language_code,channel,style,emotion_tag,duration_s,mean_dbfs,qc_status,transcript
en_01_seg016,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.1,passed,"to structure around what exists, I'd much rather be doing more and more transactions which I'm convinced would happen if the law was easier to navigate. So that's the  that's the sort of I think a lot of lawyers and it comes through pattern recognition. So a lot of lawyers recognize these patterns over the hundreds of transactions they do and they say okay, why am I doing some of the stuff that I'm doing? Could the system itself be better? And that's why you'll see"
en_01_seg017,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,formal,25.0,-17.2,passed,"See a lot of lawyers as they become more senior, they start doing policy related work. So, uh, most people tend to do it in their individual capacity, but some people will, you know, do it in a more structured institutional sense and that's what, that's what Trustbridge is about. Uh, by rule of law it is, it's what, what you mean is that if the law says something, then you should do, do whatever it is that you want to do in accordance."
en_01_seg018,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,25.0,-17.2,passed,"with that. That's the very fundamental understanding. So, it but it embodies within it the ideas of predictability, of transparency, of accessibility. You have to know what the law is. It has to be available for you to be able to follow it. I know there's this presumption in most common law countries that ignorance of the law is not an excuse. But what is causing that ignorance? Is the law freely available?"
en_01_seg019,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.0,passed,"so that, you know, people have, have they chosen to avoid knowing about the law? Is it just hard for them to know? And in our country where we have statutes, we have the constitution above everything else. Then we've got statutes, below that you've got policies, guidelines, they have notifications, you have office orders, you have memos, and sometimes these are not accessible and even on the websites of the organizations that are issuing them. So then to ask"
en_01_seg020,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,25.0,-17.3,passed,ask a citizen or a corporation to follow that is in some sense against the rule of law because you don't know what the law is. So it's all of these elements which lend themselves to a better functioning economies. That's the sort of principle behind what we're doing. And does good law emerge from the bottom up or from the top down? Like from the top down it can come from a set of higher principles and then from that you arrive at what the law should be from.
en_01_seg021,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,motivational,25.0,-17.3,passed,"from some greater notion of individual rights and autonomy and the state's role and all that, or you can arrive at it from the bottom up by thinking about what works, uh, you know, for a stable society or a prosperous society or whatever. What is therefore the correct way to think about it?"
en_01_seg022,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,25.0,-17.4,passed,"more consistent if it doesn't have a set of principles or values top down guiding it. But I think the expression of those values in any particular society or in any country, I think should be dictated from by what's coming from the bottom up. So the manner in which you implement those values should necessarily differ in you know, they won't."
en_01_seg023,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,motivational,25.0,-17.3,passed,"don't apply in the same way in Sweden as they would in India. Uh, and there is a, there's a, there are political economies in India which have to be dealt with. And you can either look to change the political economy and then implement a law, or you can look at taking the political economy as, as given and then saying okay, what is the, what is the version of those principles that would fit within this political economy. You might never"
en_01_seg024,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.0,passed,"never get a perfect answer, but I think you have to be thinking of both to get a law which is both sustainable in principle as well as in practice. So I think both are both are critical. You mentioned about how the task of persuading people to make their laws better is also demonstrating that it's good for the economy in the long run. And I agree with you that a good strong rule of law will always be good for the economy."
en_01_seg025,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-16.9,passed,"economy and society in the long run. But, um, you know, as a hypothetical, what if it wasn't? You know, would you still try to push your notion of what a rule of law would be even if it doesn't necessarily, even if you can't necessarily show good outcomes down the road, or do there always have to be good outcomes predicated on it, in which case you could say that you're actually looking at it the wrong way around and you could actually define the rule of law."
en_01_seg026,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,formal,25.0,-17.7,passed,"According to what leads to good outcomes or economic growth? That's, it's a good question, but I think, I think that I would, the way I would look at it is to say that I don't necessarily want the best possible outcome, but I want the predictability and I want the consistency and I want everyone to be equal in front of the law. If that would take me,"
en_01_seg027,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,motivational,25.0,-17.4,passed,"get, you know, us having the second best good option, then I would probably accept that because if what is to say that you would actually achieve the best outcome by not following the rule of law. And in whose eyes is that the best option? So, I would sort of think of it as the process sifting out the best option rather than you predetermining what the"
en_01_seg028,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,26.26,-17.4,passed,"the best option. That's some form of central planning in some ways. To say I think this is the best option, but if you say that oh look, most human beings would want to be governed by a set of principles which would look somewhat like the following and that being the principles of the rule of law, then the outcomes that you get out of that will generally be good. They may not be the best, but then you will have fulfilled another very important objective of society, which is to be fair."
en_01_seg029,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.4,passed,"So,  rule of law after all is about being fair. So society needs to be fair and it needs to be as efficient as possible. I tend to believe that fairness in the long term will lead to efficiency, but if it leads to the second best option of efficiency, I'm happy with that.
And how much when you think about laws in India, how much of a part dependence does the constitution have? Because the constitution was made at one point in time."
en_01_seg030,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.0,passed,"in time, and once it is there, it is there, and therefore, uh, you know, change can only come through amendments in the constitution, which is really a political process and not really, uh, you know, often not subject to intellectual discourse. So, um, how much of an issue is that like before the before we started offline, you were talking about perhaps a future book of yours on alcohol laws, for example, where"
en_01_seg031,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-16.8,passed,"you know, the last version of our directive principles happened to have that added in, whereas the previous one didn't, and as you wisely pointed out that Gandhiji had been assassinated in between those two, so maybe that's why they put it in. You were speculating. I hope I'm not giving away things I'm not supposed to. Yeah. But, you know, and that strikes me as one example of how a small decision in the constitution can have part dependence many."
en_01_seg032,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.0,passed,"many years down the line and there are good things in our constitution, but there are also bad things in our constitution. So, you know, how do you think of that? Is it like a huge constraint you have to keep in mind or are there ways around it? I think it probably feels like a bigger constraint than it is because our courts have regularly interpreted the constitution and various other laws in ways that they wanted to in any way."
en_01_seg033,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,motivational,25.0,-17.3,passed,"In order to achieve a certain outcome and often very often that outcome was fairness of some kind. So, in any legal system, the you can't take away the take out the human element, the judge out of the system. And if the judge, the judge is in some ways an embodiment of the popular morality as well on an issue at a particular point in time. The judge wasn't there when the constitution was written either. So,"
en_01_seg034,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,25.0,-17.2,passed,"So the constitution might say something, but if it is felt that for various set of reasons, an alternative or a slightly tweaked explanation of the constitution will lead to what is quote unquote the right outcome in the eyes of the judge, the judge will find a way to come out with a decision that will say that either distinguish a previous decision on the facts, even though it's on the same constitutional provision or it"
en_01_seg035,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,motivational,25.0,-17.1,passed,"it'll in some cases, it'll actually say the times have changed. Uh, like, you know, certain provisions of the law have been read down, homosexuality for example. Uh, so, you know, things can, things can change and in fact they should change because the popular, the what is the constitution is not, I'm sort of quite against the US kind of view is which is that the constitution was written once and you can never change it, change it again because the"
en_01_seg036,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,25.0,-17.4,passed,"The context, especially of the US Constitution, was so particular in the context of slavery, just having run away from a repressive religious regime in Europe, all sorts of things. So the expression of the morality of the time is what the US Constitution is, and that has changed over time, and likewise for our Constitution. So it should be a living document, it should change."
en_01_seg037,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.0,passed,"But we should know why we are changing it and you know, it shouldn't be purely on political basis as you suggested in the beginning. Yeah, but if you're if reflecting public morality as an individual judge may be doing, if reflecting public morality is part of you know, what you should aim for, then that can lead us to some very strange directions depending on the temper of the times. No, absolutely."
en_01_seg038,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,emphatic,25.0,-17.4,passed,"Absolutely. So that's it, it is a double-edged sword, and it doesn't mean that you reflect every version of the public morality, but and and you don't sort of throw out freedom of expression because public morality is against it, but you might temper the freedom of expression in a certain way, uh, which I might not personally agree with, but it might be a more sustainable interpretation of the constitution today as far as law and order etcetera is concerned."
en_01_seg039,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,motivational,25.0,-17.2,passed,"One of the biggest fights I remember having with my father was when Satanic Verses came out and it was banned. And my father who was an absolute liberal said yes, he was agreed with the fact that it had been banned. And I couldn't believe he'd said that and I sort of took him up on that. And he turned around and ultimately said I'm an administrator, there will be blood on the streets tomorrow."
en_01_seg040,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,motivational,25.0,-17.5,passed,"tomorrow. So should I care about that or should I care about the principle? Now, I would still argue that one should care about the principle and I know that he did as well, but you can see that practical dilemma in the eyes of the administrator and therefore in the eyes of the judge, and it would be foolish to expect that that will not color decisions as a matter of fact rather than as a normative principle."
en_01_seg041,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,excited,25.0,-17.0,passed,"Yeah, you know, I'm fully with you on upholding the principle over the blood on the streets argument, which is a very Bob Dylan-ish argument. Are you into I mean blood on the tracks? Yes, of course. I I once in the summer of 1987, summer holidays, I listened to blood on the tracks back to back for about a month. Wow. Morning to evening. Whenever I was in the house because"
en_01_seg042,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,25.0,-16.8,passed,"because I discovered it in my parents' record collection, it had never been played in front of me, and I discovered it and to me it's just one of the best pieces of music of all time. Masterpiece, simple twist of fate, up to me, etcetera, etcetera. Every song, every song. Yeah, yeah, yeah. I can, if we start swapping lyrics back and forth, this will never end. So, you know, not to, not to delay our much awaited, at least much awaited."
en_01_seg043,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.1,passed,"evaded by me incursion into talking about trilegal, but just to stick on stay on this subject for a moment, you know, can you give me an example of the kind of areas in which trust which therefore works? Like what is it that is an example of a bad law that you're trying to change and what are you trying to change it to and what does that landscape look like? Let me let me focus on the work that we're doing with regulators because as I said, you know, they're a very important"
en_01_seg044,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.3,passed,"important part of our rule making and adjudicatory landscape. In fact, the reason why regulators are particularly interesting and important is because it's one of the few places within the life of our country where the idea of separation of powers is deliberately violated. So a regulator makes law, a regulator implements it and a regulator adjudicates on it."
en_01_seg045,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.3,passed,"So the way in which a regulator functions is very important, not just because the subject matter what they're regulating  being important for the economy, but because of the fact that the rule of law isn't being or rather the separation of powers isn't being followed in the way that it normally would be. 
So  so the way in which we look at how regulators function has to be sort of different. 
 and one of the questions"
en_01_seg046,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.34,-17.8,passed,"questions we ask ourselves is how do you evaluate the performance of a regulator? How do we know whether a regulator is doing well or not? Uh, and if we were to focus on the adjudicatory part, which is a very important one because it implicates the lives of many companies. Uh, we said okay, let's look at the orders that a regulator passes and we looked at we've looked at a few different regulators and we're going to continue to look at"
en_01_seg047,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,25.0,-17.3,passed,"More and more, but the methodology that we've developed is to say, okay, we will use AI to study the quality or rather the regulatory orders based on the statute itself will require that a regulatory order on a certain issue contain within us certain elements to make up, which make up the offense that is being."
en_01_seg048,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,motivational,25.0,-17.6,passed,"claimed. So, for instance,  as far as SEBI is concerned, SEBI requires four elements to make up an insider trading case. Are those four elements there? Have they been expressed in the proper fashion? That's a question that you can get train an AI to ask of the universe of all regulatory orders on insider trading. Based on that, then you look at what happens in those matters. In matters in which"
en_01_seg049,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.4,passed,"the regulator loses, is that being appealed? How many of those matters are being appealed and how many of those appeals is the regulator losing? So, so you can you then get a metric of how good the quality of the order is based on how successful they ultimately are and the appeal could go to the pellet body of the regulator or to the Supreme Court of India. So and we've looked we've used this methodology for electricity sector regulation."
en_01_seg050,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.1,passed,"regulators, we've used it for SEBI's certain kinds of SEBI orders. And we've developed a methodology that will which you can then use for any regulator. And we've written detailed manuals on how to do this, how to extract the key elements of an order, how to translate that into into metrics, how to evaluate those metrics, etc. So that gives a very objective kind of way of saying this is working, this is not working, and you'll you'll"
en_01_seg051,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.5,passed,"to be able to see why it's not working. So it could be because procedure wasn't followed. It could be because there was an error of law made or that precedent wasn't followed, etcetera. So that's one important area of work that we're doing. We're also looking at the power sector inevitably because that's an area of deep interest for me. So we're looking at, you know, if we were to, what is the pathway to reforming the power sector? Last time we spoke"
en_01_seg052,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.1,passed,"When Ajay Shah was also here, we were talking about a big paper that we'd written on big principles of reform. We're looking now at how do we break some of those things down into different elements of reform, which as we were discussing earlier, the principles that we are using is that regulation should be correcting for market failure. But in the real world, how do we get, how do we implement the right thing?"
en_01_seg053,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,25.0,-17.4,passed,"quote unquote, over a period of time given the realities of the political economy. So that's another sort of part of the work that Trustbridge is doing. I'll of course link our past episode from the show notes as well as everything is everything episodes that we did on regulation, on the rule of law, all of those things. You know, a lot of the stuff that you're doing at Trustbridge is something that will never be visible to the public. It's not in many ways,"
en_01_seg054,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-16.9,passed,"You're playing a long game, uh, the work you do is not measurable immediately, it'll never be attributable perhaps. A lot of the changes will happen silently over a period of time. So what drives you to do this? Like in the sense that where does, where has, how has your sense of purpose evolved over the years if it is something you've thought about or mapped out or because one always makes up stories about themselves in hindsight only, uh, otherwise you just muddle along and"
en_01_seg055,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.9,passed,"getting to where you get. But, um, you know, whatever sense you have of how your sense of purpose has evolved, tell me about it. Mine has evolved quite severely. I used to, I used to be absolutely hung up on how is my great idea going to be implemented tomorrow. Uh, that was my sort of slightly, uh, arrogant if you like."
en_01_seg057,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,conversational,25.0,-17.6,passed,"the problem and change the law and make it right, the world will be a better place tomorrow. Uh, so my frustration was when things were not being done correct, uh, correctly. I've now gone sort of quite in the other direction, which is I really don't care about the outcome of my work. Quite in a quite a quite a fundamental sense. Um, especially if you think of the world as it is today, there is so much that is happening that is"
en_01_seg058,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.2,passed,"is opposed to the way that we would have thought that the world would be and many of us are not happy with the way things are. Uh, whether it's in our country or overseas or, you know, geopolitics, etc. So this was not the movie we thought we would be watching when even 10 years ago. So you can either, you know, beat your head on the on the wall and feel frustrated and say, you know, how unlucky I was."
en_01_seg059,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,motivational,25.0,-17.2,passed,"was to be bought at this born at this time where at this peak moment of my career when I have all these great ideas and experience, no one is listening to me. You can either do that, which is of limited use and nobody cares, or you can say look, in front of me is the opportunity to do these three pieces of work. I know something about these. I have put myself in a universe where there are other people who agree with me and are willing to work with me and rather just"
en_01_seg060,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,storytelling,25.0,-17.5,passed,"Just do that piece of work that's in front of my nose and and see what happens. And if something happens, great. If it didn't, it was above my pay grade. So above my pay grade is now one of my most favorite things to say because I, you know, I've realized that almost everything is above my pay grade. There are very, very few things that I have control over from the futures of my children to the future of the nation. So it's best to just"
en_01_seg061,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,motivational,25.0,-17.5,passed,"Do your best at in that moment with as much sincerity and effort as you can and see what happens. And what I've actually found is that once I've taken that sort of attitude, uh, I've my quality of my work and my thinking is improved. I don't feel the pressure to to achieve something out of it. And uh, I found that uh, I'm expressing it in a way that other people seem to be"
en_01_seg062,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,emphatic,25.0,-17.1,passed,"to be going along with and one of the great things about about the trust which experience so far is the number of institutions, organizations and people who are keen to work collaboratively with us and to you and who appreciate the kind of work we're doing and who actually are doing work in the field or on the ground where they can see more clearly the pathways to interpretation than the kinds of people"
en_01_seg063,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,formal,25.0,-17.1,passed,"people that we are, we could. So we either we are practitioners or researchers. We are not people who have worked with government or in the not-for-profit sector. So that pathway to implementation is what is difficult for us. But luckily, we've found ourselves in an ecosystem of organizations and people that are very happy to work with us to take some of those ideas further because we are sort of in some ways for some of us."
en_01_seg064,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,formal,25.0,-17.2,passed,"All of these groups, we are providing the intellectual fodder that they can then see the pathway to implementation based on their interactions with government. And they're to be fair, there are lots of people, central government, state governments who want to make things better. I think that we haven't built up the intellectual capital within within the state to a sufficient degree, but people, lot of good people recognize."
en_01_seg065,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,formal,25.0,-17.0,passed,recognize that there are people outside government who with the best of intentions want to support these efforts and you find the opportunities to do them. I'm also at the age where a lot of my pals from college etcetera are reasonably senior in government. So if I go to them and say hey look here's an idea what do you think? Can you speak to someone put introduce me to someone who is who will be interested in it and want to do something about it usually the answers are pleasing.
en_01_seg066,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.3,passed,"positive. And we've got, you know, we're doing a couple of things with government directly as a consequence of that. So that's my long-winded answer to that sense of purpose. So my sense of purpose now is limited to what's the piece of work in front of me and, you know, how well is it being done. I love the way you use the phrase above my pay grade in account in, you know, giving it a sort of dimension. I haven't thought of it before as to, you know, represent the art."
en_01_seg067,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,motivational,25.0,-17.2,passed,"uncontrollable. So this is above my pay grade, you know. So in a sense, in a nutshell, what you're doing is you're showing agency towards what you can control and a kind of Buddhist acceptance towards what you can't control. Buddhist or even Gita or whatever, you know, it's it's it's which actually if you think about it, to not do that is a form of madness. To not be able to see, especially when the examples are being thrown in your face."
en_01_seg068,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,motivational,27.3,-17.2,passed,"face over and over again, uh, to not see that you can't control it and then to be angry because you can't or to be frustrated, upset, sad, depressed, whatever, is really a form of madness. So, uh, you know, so, so the way out of it is just to say what is what can I do? And maybe what I can do today, I can only conceive of it in a, in a very small localized sense, but maybe bigger things will happen over time, and if it doesn't, it doesn't."
en_01_seg069,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,motivational,25.0,-17.3,passed,"It also helps  Amit not to be overly invested in the future of the human race in general. 
 So I'm I'm you know, I'm ambivalent to the future of the human race. 
So I'm going to sort of dig a little  deep into that question of what you can control because what you can't control you know, right? 
If you're smart enough and if you're reflective enough, you know what you can't control. 
But I feel that and I'm now this is"
en_01_seg070,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,25.0,-17.0,passed,"I really am probably revealing my own flaws of character when I say that sometimes you overestimate what you can control. Like it would be natural for someone like me to say that I can control what I do. I can sit and write for 4 hours a day if I want to and I can tell myself that. But actually how much can I control even that? You know, maybe I innately I don't have the capacity to do that. You know, which would be a terrible cop out and I'm not saying that. But we don't know ourselves as well as we"
en_01_seg071,indian_english,en-IN,The Seen and the Unseen,conversational_podcast,questioning,20.88,-17.0,passed,"as we think and we don't control ourselves as much as we think. We were discussing before this how neither of us believe in free will, but we live as if we do. Uh, but you know, so even when you think of the controllables, it can get frustrating because you don't actually control all the things you think you control, but obviously in the context of trust bridge or whatever, that's not the case. You know exactly what you can control and what you can't. Well, you don't necessarily know it."
hi_01_seg000,hindi,hi-IN,Aaj Tak,news_formal,questioning,25.9,-28.6,passed,"आपको यह बताते हैं कि हमारे देश के युवाओं को इस देश की सरकार से क्या चाहिए।
वह आखिर कड़ी मेहनत करते हैं, दिन रात एक करके एग्जाम देते हैं।
ऐसे बच्चे जो भारत का भविष्य है।
भारत में ऐसे युवाओं की संख्या लगभग 5 करोड़ है।
जो यूनिवर्सिटी और कॉलेजेस में उच्च शिक्षा हासिल करके सरकारी नौकरी की तैयारी कर रहे हैं।"
hi_01_seg001,hindi,hi-IN,Aaj Tak,news_formal,questioning,27.76,-29.2,passed,"अगर हम ये मान लें कि हर छात्र के परिवार में कम से कम चार सदस्य भी होंगे तो ये आंकड़ा 25 करोड़ हो जाता है और ये कोई छोटा आंकड़ा नहीं है।
भारत में रशिया जैसे लगभग दो देशों की आबादी सिर्फ उच्च शिक्षा के जरिए अपना करियर, अपना भविष्य बनाने का सपना देख रही है।
और इन करोड़ों बच्चों ने इस भविष्य के लिए ना जाने कितने संघर्ष किए हैं।
लेकिन सोचिए इन बच्चों को हमारे सिस्टम से, हमारी व्यवस्था से, हमारी सरकार से मिल क्या रहा है?"
hi_01_seg002,hindi,hi-IN,Aaj Tak,news_formal,formal,27.74,-28.3,passed,"भारत में केंद्रीय और राज्य स्तर पर हर साल कम से कम दो परीक्षाओं के पेपर लीक हो जाते हैं।
अकेले पिछले 20 सालों में भर्ती परीक्षा से जुड़े 60 से ज्यादा पेपर लीक हो चुके हैं।
ये आंकड़े सिर्फ भर्ती परीक्षाओं के हैं।
सरकारी मेडिकल कॉलेजेस, इंजीनियरिंग कॉलेजेस में दाखिले के लिए जो अलग से परीक्षाएं होती हैं, वो भी इस पेपर लीक की बीमारी से बची नहीं है।
इस साल 22 लाख 79000 छात्रों ने नीट यूजी की परीक्षा के लिए आवेदन दिया था।"
